epoch,classification_acc,classification_loss,loss,regression_acc,regression_loss,val_classification_acc,val_classification_loss,val_loss,val_regression_acc,val_regression_loss
0,0.5015988414024197,5246.893901026526,374144.5693192593,0.3287994022112946,368897.67621261993,0.8594017922878265,1246.0852134011009,1479.1253273703835,0.3737290135838769,233.0401270606301
1,0.9675660258115724,258.08815818886427,308.99125963310865,0.3875621779886789,50.90310057928396,0.9731040326031771,4.430178252133456,13.866284240375865,0.36996579576622357,9.436106064102866
2,0.9918313501186149,4.526952829471854,9.369449069333632,0.3965408000661883,4.842496212138686,0.9731209467757832,4.360323970968073,9.312615871429443,0.3749278770251708,4.952291835438121
3,0.9918619896783385,4.312062332796496,7.732284839763198,0.40133123281736705,3.4202224958774656,0.9731394323435697,4.162300976839933,8.252516486428,0.39773165908726776,4.0902155529369
4,0.9918890425632166,4.039303349894147,7.050498987353126,0.419150555029858,3.011195638845133,0.9731513207609003,4.029523892836138,7.048652020367709,0.3963790928775614,3.0191280733455312
5,0.9918880351754122,4.049331640088281,6.942351795906244,0.41910581966472227,2.893020141956418,0.9731537835164503,4.029523892836138,6.895783294330943,0.39512027529152954,2.86625937982039
6,0.9918876782406209,4.057176911553671,6.903943854709004,0.41916619657084,2.846766943155333,0.9731537835164503,4.029523892836138,7.001754370602694,0.3967417437921871,2.9722305102781816
7,0.9918896372235099,4.043636000433634,6.880530349043912,0.41993939426056176,2.8368943430656612,0.9731480479240417,4.033286983316595,6.873391411521218,0.3962186046622016,2.840104428204623
8,0.9918850150912307,4.0592355783595595,6.910169221634089,0.4198274549183457,2.8509336543637653,0.9731513315981085,4.05748742276972,6.896789355711504,0.39589073983105744,2.8393019437789917
9,0.9918903618357903,4.038931344830712,6.86262689634811,0.41953015388097875,2.823695559834325,0.9731537835164503,4.029523892836138,6.883216186003252,0.3962663994594054,2.8536922714926978
10,0.9918909752091696,4.029523882755013,6.854884203090224,0.4197135375336159,2.825360302315202,0.9731537835164503,4.029523892836138,6.87223878773776,0.39587728543715045,2.84271485155279
11,0.9918904616389164,4.033950553383938,6.857092654982279,0.41936577821886817,2.82314211684604,0.9731526076793671,4.037409197200429,6.874392422762784,0.39617330648682336,2.83698325807398
12,0.9918908341679462,4.031828203866648,6.853083288946817,0.41957057908523915,2.821255080921705,0.9731537835164503,4.029523892836138,6.865762580524791,0.3960651877251538,2.8362387852235273
13,0.9918909752091696,4.029523882755013,6.849907669910165,0.4195035379813161,2.8203837954720785,0.9731537835164503,4.029523892836138,6.865015983581543,0.3960936543616382,2.8354921232570303
14,0.9918909752091696,4.029523882755013,6.849943562995556,0.4195696321684261,2.8204196594482243,0.9731537835164503,4.029523892836138,6.864300814541903,0.396116243167357,2.8347768675197256
15,0.9918909752091696,4.029523882755013,6.849108374396036,0.4197577348975248,2.8195844736210134,0.9731537835164503,4.029523892836138,6.863576390526512,0.3963832042433999,2.834052476015958
