epoch,classification_loss,loss,regression_loss,val_classification_loss,val_loss,val_regression_loss
0,889.3108057532199,1276611.3940103664,1275722.0782293829,65.66975550218062,406.6130405772816,340.94328386133367
1,17.61246521805608,110.23134171685507,92.61887666513753,8.597979177128185,31.216449824246492,22.6184705062346
2,7.10361079005308,16.10245241120804,8.998841653036516,6.00593748959628,18.370797764171254,12.364860155365683
3,5.049868001494297,9.27375461057175,4.223886575809745,4.042840155688199,10.464854283766313,6.422014214775779
4,4.036320980205092,7.504377872444863,3.4680568950120794,4.029523892836138,8.64621160247109,4.616687742146579
5,4.038197295610295,7.000960081122642,2.962762791056966,4.029523892836138,7.47218073498119,3.4426568204706367
6,4.038618087768555,6.9438619835432185,2.905243917953136,4.029523892836138,7.010341665961525,2.980817740613764
7,4.05837017990822,6.960563781649568,2.9021935975828836,4.029523892836138,6.91002403606068,2.8805000998757104
8,4.0342522000157555,6.895201488982799,2.8609492861947348,4.029523892836138,6.8751163916154345,2.8455924662676724
9,4.029523882755013,6.856771873873334,2.8272479814152387,4.029523892836138,6.868221911517057,2.8386979644948784
10,4.029523882755013,6.854903711829075,2.8253798193709794,4.029523892836138,6.879460768266157,2.8499368104067715
11,4.035163932068404,6.857642373373342,2.8224784302157024,4.029523892836138,7.0124265930869365,2.9829027110880073
12,4.037772076074467,6.912149554075197,2.874377489089966,4.070675308054144,7.005005077882246,2.9343298131769355
13,4.031888343567072,6.890603960946549,2.858715611834859,4.029523892836138,6.865250565788963,2.8357267054644497
14,4.029523882755013,6.849877656892288,2.8203537727511208,4.029523892836138,6.864518490704623,2.834994587031278
15,4.029523882755013,6.848850749259771,2.819326862346294,4.029523892836138,6.863775014877319,2.834251122041182
16,4.029523882755013,6.848240220269491,2.8187163389006327,4.029523892836138,6.863060170953924,2.833536223931746
17,4.029523882755013,6.847637808600138,2.818113920300506,4.029523892836138,6.862348621541804,2.8328247395428745
18,4.029523882755013,6.847052363462226,2.8175284668456677,4.029523892836138,6.861642577431419,2.8321186304092407
19,4.029523882755013,6.84646767239238,2.8169437757758207,4.029523892836138,6.8609419952739366,2.831418113275008
20,4.029523882755013,6.8458899841752165,2.8163661346879114,4.029523892836138,6.860255263068459,2.8307313485579058
21,4.029523882755013,6.845325439475303,2.8158015525618265,4.029523892836138,6.859578457745639,2.830054608258334
22,4.029523882755013,6.844757168792015,2.8152332832646922,4.029523892836138,6.858904253352772,2.8293803280050103
23,4.029523882755013,6.844197101371233,2.814673210299292,4.029523892836138,6.858236182819713,2.8287122574719517
24,4.029523882755013,6.843653321266174,2.8141294523727063,4.029523892836138,6.857562108473345,2.8280382481488315
25,4.029523882755013,6.84310472566028,2.8135808373606483,4.029523892836138,6.856915257193825,2.82739135352048
26,4.029523882755013,6.842561824377193,2.81303794162218,4.029523892836138,6.856266216798262,2.8267423564737495
27,4.029523882755013,6.8420213128245155,2.8124974272971928,4.029523892836138,6.85561897537925,2.826095082543113
28,4.029523882755013,6.8414907954459965,2.8119669334833013,4.029523892836138,6.854971885681152,2.8254479603333906
29,4.029523882755013,6.840966451999753,2.811442573403203,4.029523892836138,6.854342352260243,2.824818481098522
30,4.029523882755013,6.840438102566918,2.8109142281288326,4.029523892836138,6.853715831583196,2.8241919929331
